workload,schedule,batch,device,seed,time_to_target_s,time_to_practical_s,epochs_to_target,total_time_s,epochs_run,final_nll
stroke-ls,baseline-2phase,512,cpu,0,67.90497945342213,34.04146517440677,1801.0,151.21806374983862,4000,10.305234551429749
stroke-ls,baseline-2phase,512,cpu,1,84.07598376879469,37.12356356717646,2249.0,149.7330836527981,4000,10.305070042610168
stroke-ls,baseline-2phase,512,cpu,2,78.90357776219025,31.544621946290135,2106.0,150.25025678426027,4000,10.304803431034088
stroke-ls,baseline-2phase,full,cpu,0,65.12425086135045,46.240645034238696,3352.0,77.7223657942377,4000,10.30467101931572
stroke-ls,baseline-2phase,full,cpu,1,72.14052711613476,53.288860980886966,3705.0,77.87609020480886,4000,10.30483803153038
stroke-ls,baseline-2phase,full,cpu,2,67.70779091864824,45.18398936884478,3485.0,77.71736076800153,4000,10.304728478193283
stroke-ls,constant,512,cpu,0,67.36757167521864,33.63179282983765,1801.0,149.7724465560168,4000,10.309058427810669
stroke-ls,constant,512,cpu,1,84.38661448191851,37.287979278713465,2249.0,149.90513666393235,4000,10.311457335948944
stroke-ls,constant,512,cpu,2,78.77575839683414,31.540202132891864,2106.0,149.60653292993084,4000,10.307393699884415
stroke-ls,constant,full,cpu,0,75.087483944837,46.37833031779155,3854.0,77.92776941787452,4000,10.30516442656517
stroke-ls,constant,full,cpu,1,,53.353544344659895,,77.83267527772114,4000,10.305598825216293
stroke-ls,constant,full,cpu,2,,45.456333660986274,,78.25993583491072,4000,10.305341392755508
stroke-ls,onecycle,512,cpu,0,,,,56.32706494862214,1500,10.344068139791489
stroke-ls,onecycle,512,cpu,1,,,,56.23109990824014,1500,10.340686351060867
stroke-ls,onecycle,512,cpu,2,,,,56.349409034941345,1500,10.333088397979736
stroke-ls,onecycle,full,cpu,0,,,,29.189326585270464,1500,10.551838099956512
stroke-ls,onecycle,full,cpu,1,,,,29.142173837404698,1500,10.481032699346542
stroke-ls,onecycle,full,cpu,2,,,,29.153445682954043,1500,10.506695449352264
stroke-ls,onecycle-3k,512,cpu,0,,61.113758500665426,,112.73869400471449,3000,10.30554312467575
stroke-ls,onecycle-3k,512,cpu,1,,68.30945521593094,,112.48642708919942,3000,10.306113123893738
stroke-ls,onecycle-3k,512,cpu,2,,62.529153268784285,,113.25381986238062,3000,10.305739402770996
stroke-ls,onecycle-3k,full,cpu,0,,,,58.73784148087725,3000,10.422337889671326
stroke-ls,onecycle-3k,full,cpu,1,,,,58.570455378852785,3000,10.392652213573456
stroke-ls,onecycle-3k,full,cpu,2,,,,58.427788007073104,3000,10.390833228826523
stroke-ls,cosine,512,cpu,0,,,,56.27815334033221,1500,10.31020924448967
stroke-ls,cosine,512,cpu,1,,,,56.20002970891073,1500,10.312836080789566
stroke-ls,cosine,512,cpu,2,,,,56.87192442221567,1500,10.309359699487686
stroke-ls,cosine,full,cpu,0,,,,29.32605723058805,1500,10.484015434980392
stroke-ls,cosine,full,cpu,1,,,,29.145995710976422,1500,10.430865287780762
stroke-ls,cosine,full,cpu,2,,,,29.20352606382221,1500,10.430421024560928
stroke-ls,plateau+freeze,512,cpu,0,,31.927393589168787,,47.48827562108636,1527,10.306108951568604
stroke-ls,plateau+freeze,512,cpu,1,,34.49334297189489,,46.060431310907006,1524,10.306560933589935
stroke-ls,plateau+freeze,512,cpu,2,,31.580691516865045,,48.11185811506584,1381,10.305981427431107
stroke-ls,plateau+freeze,full,cpu,0,,45.07125859474763,,64.93757904972881,4000,10.305581241846085
stroke-ls,plateau+freeze,full,cpu,1,,48.91687040030956,,64.63153387513012,4000,10.305953323841095
stroke-ls,plateau+freeze,full,cpu,2,,44.97325106803328,,67.16766404965892,4000,10.305768758058548
vaca-ci,baseline-2phase,512,cpu,0,,7.500871737953275,,54.32539678970352,520,5.000120401382446
vaca-ci,baseline-2phase,512,cpu,1,14.151582750026137,9.664544333238155,135.0,54.46111222403124,520,4.9658167362213135
vaca-ci,baseline-2phase,512,cpu,2,7.720063666347414,6.886347548104823,74.0,54.340669360011816,520,4.980782628059387
vaca-ci,baseline-2phase,full,cpu,0,,,,11.959006084129214,520,4.990021824836731
vaca-ci,baseline-2phase,full,cpu,1,,,,11.942675855010748,520,5.5054919719696045
vaca-ci,baseline-2phase,full,cpu,2,,,,11.971945442259312,520,4.984254002571106
vaca-ci,constant,512,cpu,0,,7.507713830564171,,54.418705446179956,520,4.999061584472656
vaca-ci,constant,512,cpu,1,14.059911413118243,9.58030040981248,135.0,54.2682890817523,520,4.965121388435364
vaca-ci,constant,512,cpu,2,7.7075026468373835,6.8749624118208885,74.0,54.175946321804076,520,4.983452558517456
vaca-ci,constant,full,cpu,0,,,,11.985273607075214,520,4.982659220695496
vaca-ci,constant,full,cpu,1,,,,12.098285173997283,520,5.179729223251343
vaca-ci,constant,full,cpu,2,,,,12.012617480941117,520,4.97358775138855
vaca-ci,onecycle,512,cpu,0,18.418329166714102,12.873597228899598,176.0,31.402579457033426,300,4.968545913696289
vaca-ci,onecycle,512,cpu,1,14.748670737724751,11.929704420734197,141.0,31.352645550388843,300,4.964292049407959
vaca-ci,onecycle,512,cpu,2,,12.122045658994466,,31.34420804772526,300,4.9732396602630615
vaca-ci,onecycle,full,cpu,0,,,,6.9759243982844055,300,5.269880294799805
vaca-ci,onecycle,full,cpu,1,,,,6.91949434299022,300,5.9167503118515015
vaca-ci,onecycle,full,cpu,2,,,,6.856435928028077,300,5.264895439147949
vaca-ci,cosine,512,cpu,0,,7.54714666120708,,31.32560323178768,300,4.975802183151245
vaca-ci,cosine,512,cpu,1,16.663475876674056,9.579812542069703,160.0,31.275925755966455,300,4.967016100883484
vaca-ci,cosine,512,cpu,2,8.242028906010091,6.888464644085616,79.0,31.319737853948027,300,4.968832969665527
vaca-ci,cosine,full,cpu,0,,,,7.15276987478137,300,5.22493588924408
vaca-ci,cosine,full,cpu,1,,,,7.17642248980701,300,5.873547554016113
vaca-ci,cosine,full,cpu,2,,,,7.170795839745551,300,5.220121622085571
vaca-ci,plateau+freeze,512,cpu,0,,7.120220991317183,,13.767899990081787,199,4.96831214427948
vaca-ci,plateau+freeze,512,cpu,1,,9.630577739328146,,18.96011902904138,201,4.968033313751221
vaca-ci,plateau+freeze,512,cpu,2,7.518526651896536,6.787887956947088,72.0,15.620931810699403,198,4.963635206222534
vaca-ci,plateau+freeze,full,cpu,0,,,,11.489348242990673,842,4.979510545730591
vaca-ci,plateau+freeze,full,cpu,1,,,,12.199194114189595,842,5.6508331298828125
vaca-ci,plateau+freeze,full,cpu,2,,11.88071712385863,,15.252626820001751,842,4.967460632324219
stroke-ls,lbfgs,full,cpu,0,,5.1977978073991835,,5.764073587022722,600,10.308708190917969
stroke-ls,adam150+lbfgs,full,cpu,0,,9.518533949740231,,11.649458076804876,750,10.307296752929688
stroke-ls,lbfgs,full,cpu,1,,4.326191530097276,,6.118389897048473,600,10.30769157409668
stroke-ls,adam150+lbfgs,full,cpu,1,,8.492122719995677,,10.588427534792572,750,10.307270050048828
stroke-ls,lbfgs,full,cpu,2,,4.642497853841633,,5.084668624214828,600,10.309021949768066
stroke-ls,adam150+lbfgs,full,cpu,2,,9.144613022916019,,9.955183309968561,750,10.308753967285156
